__time,/gazebo_ground_truth/odom/header/header/seq,/gazebo_ground_truth/odom/header/header/stamp,/gazebo_ground_truth/odom/pose/covariance/[0;0],/gazebo_ground_truth/odom/pose/covariance/[0;1],/gazebo_ground_truth/odom/pose/covariance/[0;2],/gazebo_ground_truth/odom/pose/covariance/[0;3],/gazebo_ground_truth/odom/pose/covariance/[0;4],/gazebo_ground_truth/odom/pose/covariance/[0;5],/gazebo_ground_truth/odom/pose/covariance/[1;1],/gazebo_ground_truth/odom/pose/covariance/[1;2],/gazebo_ground_truth/odom/pose/covariance/[1;3],/gazebo_ground_truth/odom/pose/covariance/[1;4],/gazebo_ground_truth/odom/pose/covariance/[1;5],/gazebo_ground_truth/odom/pose/covariance/[2;2],/gazebo_ground_truth/odom/pose/covariance/[2;3],/gazebo_ground_truth/odom/pose/covariance/[2;4],/gazebo_ground_truth/odom/pose/covariance/[2;5],/gazebo_ground_truth/odom/pose/covariance/[3;3],/gazebo_ground_truth/odom/pose/covariance/[3;4],/gazebo_ground_truth/odom/pose/covariance/[3;5],/gazebo_ground_truth/odom/pose/covariance/[4;4],/gazebo_ground_truth/odom/pose/covariance/[4;5],/gazebo_ground_truth/odom/pose/covariance/[5;5],/gazebo_ground_truth/odom/pose/pose/orientation/pitch,/gazebo_ground_truth/odom/pose/pose/orientation/roll,/gazebo_ground_truth/odom/pose/pose/orientation/w,/gazebo_ground_truth/odom/pose/pose/orientation/x,/gazebo_ground_truth/odom/pose/pose/orientation/y,/gazebo_ground_truth/odom/pose/pose/orientation/yaw,/gazebo_ground_truth/odom/pose/pose/orientation/z,/gazebo_ground_truth/odom/pose/pose/position/x,/gazebo_ground_truth/odom/pose/pose/position/y,/gazebo_ground_truth/odom/pose/pose/position/z,/gazebo_ground_truth/odom/twist/covariance/[0;0],/gazebo_ground_truth/odom/twist/covariance/[0;1],/gazebo_ground_truth/odom/twist/covariance/[0;2],/gazebo_ground_truth/odom/twist/covariance/[0;3],/gazebo_ground_truth/odom/twist/covariance/[0;4],/gazebo_ground_truth/odom/twist/covariance/[0;5],/gazebo_ground_truth/odom/twist/covariance/[1;1],/gazebo_ground_truth/odom/twist/covariance/[1;2],/gazebo_ground_truth/odom/twist/covariance/[1;3],/gazebo_ground_truth/odom/twist/covariance/[1;4],/gazebo_ground_truth/odom/twist/covariance/[1;5],/gazebo_ground_truth/odom/twist/covariance/[2;2],/gazebo_ground_truth/odom/twist/covariance/[2;3],/gazebo_ground_truth/odom/twist/covariance/[2;4],/gazebo_ground_truth/odom/twist/covariance/[2;5],/gazebo_ground_truth/odom/twist/covariance/[3;3],/gazebo_ground_truth/odom/twist/covariance/[3;4],/gazebo_ground_truth/odom/twist/covariance/[3;5],/gazebo_ground_truth/odom/twist/covariance/[4;4],/gazebo_ground_truth/odom/twist/covariance/[4;5],/gazebo_ground_truth/odom/twist/covariance/[5;5],/gazebo_ground_truth/odom/twist/twist/angular/x,/gazebo_ground_truth/odom/twist/twist/angular/y,/gazebo_ground_truth/odom/twist/twist/angular/z,/gazebo_ground_truth/odom/twist/twist/linear/x,/gazebo_ground_truth/odom/twist/twist/linear/y,/gazebo_ground_truth/odom/twist/twist/linear/z,/glim_ros/odom/header/header/seq,/glim_ros/odom/header/header/stamp,/glim_ros/odom/pose/covariance/[0;0],/glim_ros/odom/pose/covariance/[0;1],/glim_ros/odom/pose/covariance/[0;2],/glim_ros/odom/pose/covariance/[0;3],/glim_ros/odom/pose/covariance/[0;4],/glim_ros/odom/pose/covariance/[0;5],/glim_ros/odom/pose/covariance/[1;1],/glim_ros/odom/pose/covariance/[1;2],/glim_ros/odom/pose/covariance/[1;3],/glim_ros/odom/pose/covariance/[1;4],/glim_ros/odom/pose/covariance/[1;5],/glim_ros/odom/pose/covariance/[2;2],/glim_ros/odom/pose/covariance/[2;3],/glim_ros/odom/pose/covariance/[2;4],/glim_ros/odom/pose/covariance/[2;5],/glim_ros/odom/pose/covariance/[3;3],/glim_ros/odom/pose/covariance/[3;4],/glim_ros/odom/pose/covariance/[3;5],/glim_ros/odom/pose/covariance/[4;4],/glim_ros/odom/pose/covariance/[4;5],/glim_ros/odom/pose/covariance/[5;5],/glim_ros/odom/pose/pose/orientation/pitch,/glim_ros/odom/pose/pose/orientation/roll,/glim_ros/odom/pose/pose/orientation/w,/glim_ros/odom/pose/pose/orientation/x,/glim_ros/odom/pose/pose/orientation/y,/glim_ros/odom/pose/pose/orientation/yaw,/glim_ros/odom/pose/pose/orientation/z,/glim_ros/odom/pose/pose/position/x,/glim_ros/odom/pose/pose/position/y,/glim_ros/odom/pose/pose/position/z,/glim_ros/odom/twist/covariance/[0;0],/glim_ros/odom/twist/covariance/[0;1],/glim_ros/odom/twist/covariance/[0;2],/glim_ros/odom/twist/covariance/[0;3],/glim_ros/odom/twist/covariance/[0;4],/glim_ros/odom/twist/covariance/[0;5],/glim_ros/odom/twist/covariance/[1;1],/glim_ros/odom/twist/covariance/[1;2],/glim_ros/odom/twist/covariance/[1;3],/glim_ros/odom/twist/covariance/[1;4],/glim_ros/odom/twist/covariance/[1;5],/glim_ros/odom/twist/covariance/[2;2],/glim_ros/odom/twist/covariance/[2;3],/glim_ros/odom/twist/covariance/[2;4],/glim_ros/odom/twist/covariance/[2;5],/glim_ros/odom/twist/covariance/[3;3],/glim_ros/odom/twist/covariance/[3;4],/glim_ros/odom/twist/covariance/[3;5],/glim_ros/odom/twist/covariance/[4;4],/glim_ros/odom/twist/covariance/[4;5],/glim_ros/odom/twist/covariance/[5;5],/glim_ros/odom/twist/twist/angular/x,/glim_ros/odom/twist/twist/angular/y,/glim_ros/odom/twist/twist/angular/z,/glim_ros/odom/twist/twist/linear/x,/glim_ros/odom/twist/twist/linear/y,/glim_ros/odom/twist/twist/linear/z,diff_x,diff_y,diff_z,glim_roll,glim_pitch,glim_yaw,gt_roll,gt_pitch,gt_yaw,diff_roll,diff_pitch,diff_yaw
0.16,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1835e-05,3.1989e-05,1.0,1.5994e-05,1.0918e-05,3.5175e-05,1.7587e-05,3.0364e-05,-2.4628e-05,0.000275112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002853778,0.000856617,-0.002430849,0.001686219,-0.000504576,-0.000312526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.198838402092312e-05,2.1835437413963987e-05,3.51743492365522e-05,-3.198838402092312e-05,-2.1835437413963987e-05,-3.51743492365522e-05
0.18,2.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1488e-05,4.4538e-05,1.0,2.2269e-05,2.0744e-05,1.2488e-05,6.244e-06,4.1245e-05,-4.008e-06,0.000276188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015540927,-0.017148044,-0.001213915,-0.001675136,0.000945016,0.000965954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.453825906113833e-05,4.1487721876620753e-05,1.2488923895290387e-05,-4.453825906113833e-05,-4.1487721876620753e-05,-1.2488923895290387e-05
0.2,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2607e-05,4.0212e-05,1.0,2.0106e-05,6.303e-06,-8.227e-06,-4.114e-06,8.48e-06,5.83e-06,0.000280508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000206706,-0.000196616,-0.000658877,-0.000708968,-0.000530919,0.000484986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0211948134414423e-05,1.260616542686499e-05,-8.227746540718385e-06,-4.0211948134414423e-05,-1.260616542686499e-05,8.227746540718385e-06
0.22,4.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3895e-05,-8.863e-06,1.0,-4.431e-06,2.6947e-05,-1.0663e-05,-5.331e-06,2.3444e-05,1.6767e-05,0.000272696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00483604,0.004064042,-9.6659e-05,0.001729858,0.002264301,-0.000933941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-8.862287315039391e-06,5.389395274124631e-05,-1.0662238811745924e-05,8.862287315039391e-06,-5.389395274124631e-05,1.0662238811745924e-05
0.24,5.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9469e-05,2.4666e-05,1.0,1.2333e-05,1.4735e-05,-8.833e-06,-4.417e-06,2.2921e-05,-4.799e-06,0.000283195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000856198,-0.000425693,-0.000152126,-0.000213151,-0.001526037,0.000172268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.4665869834633705e-05,2.9470108942497575e-05,-8.833636547006913e-06,-2.4665869834633705e-05,-2.9470108942497575e-05,8.833636547006913e-06
0.26,6.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.987e-06,3.1852e-05,1.0,1.5926e-05,-4.493e-06,6.887e-06,3.444e-06,1.854e-05,3.816e-05,0.000278044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015388557,0.016784979,0.001080824,0.001711775,0.0018885,0.000954481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.1851969049788266e-05,-8.98610969590763e-06,6.8878568873288e-06,-3.1851969049788266e-05,8.98610969590763e-06,-6.8878568873288e-06
0.28,7.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8276e-05,2.246e-06,1.0,1.123e-06,9.138e-06,3.0335e-05,1.5167e-05,5.0144e-05,4.5976e-05,0.000282931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000368614,-0.000116168,0.000858722,0.00045206,-0.001209632,0.000824823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.2462771917618942e-06,1.827596592995917e-05,3.0334020524116726e-05,-2.2462771917618942e-06,-1.827596592995917e-05,-3.0334020524116726e-05
0.3,8.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1665e-05,7.4331e-05,0.999999999,3.7166e-05,-1.0833e-05,-2.0255e-05,-1.0127e-05,7.5765e-05,-1.1208e-05,0.000279518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014809357,0.015456864,-0.001063527,0.000675435,-0.000361688,0.001236203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.433221945278825e-05,-2.1665247228686013e-05,-2.0254805232517756e-05,-7.433221945278825e-05,2.1665247228686013e-05,2.0254805232517756e-05
0.32,9.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592e-06,1.8249e-05,1.0,9.124e-06,4.796e-06,-2.13e-06,-1.065e-06,9.9913e-05,4.9588e-05,0.000272404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.618e-05,-0.001054707,0.000196327,0.000335311,0.001783603,0.000562024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.824798978441267e-05,9.592019433179999e-06,-2.1299124824628746e-06,-1.824798978441267e-05,-9.592019433179999e-06,2.1299124824628746e-06
0.34,10.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37e-07,1.5065e-05,1.0,7.532e-06,4.19e-07,-7.103e-06,-3.552e-06,9.7052e-05,3.5672e-05,0.000278976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2881e-05,-0.000439196,-0.000221829,-0.000171299,-0.001082271,0.00021722,1.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000139087,4.0922e-05,0.999999997,2.0463e-05,6.9543e-05,-5.6603e-05,-2.8303e-05,-0.001793034,0.000386121,0.000507733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001890086,0.000350449,0.000228757,4.0922063731116405e-05,0.00013908715835198038,-5.660315428791897e-05,1.506399702295172e-05,8.380535074792306e-07,-7.103993687752353e-06,2.5858066708164683e-05,0.00013824910484450115,-4.949916060016662e-05
